
Average
211.443,221.27,216.108,210.418,205.77,198.793,193.04,189.502,191.633,192.131,194.423,196.021,197.497,198.692,199.961,202.439,204.884,206.867,209.837,213.173,214.603,219.932,226.483,229.073,233.521,237.359,242.907,246.172,254.87,232.096
217.53,228.121,221.149,215.314,210.426,204.459,198.363,194.672,196.713,197.281,199.211,200.814,201.902,203.639,204.718,207.616,210.363,212.112,214.759,218.359,219.858,224.727,231.911,235.342,238.916,242.752,248.184,251.306,259.954,234.303
218.111,228.798,221.83,216.034,211.054,205.217,199.216,195.537,197.634,198.367,200.308,201.862,203.407,204.661,206.198,209.089,211.536,213.74,216.374,220.168,221.01,226.517,233.999,236.761,241.208,245.316,250.649,253.631,262.502,236.178
218.943,229.494,223.809,218.16,213.001,206.173,200.149,196.548,199.003,199.623,201.643,203.441,204.764,205.861,207.763,210.374,212.904,215.048,217.679,221.423,222.188,227.738,235.32,238.023,242.394,246.311,251.728,254.748,263.65,237.271
221.82,232.901,225.738,220.111,215.103,209.122,202.962,199.269,201.553,202.354,204.364,206.072,207.701,208.966,210.452,213.531,215.991,218.213,220.834,224.596,225.424,231.03,238.621,241.376,245.878,249.673,253.518,256.576,265.398,239.098
224.321,235.597,229.822,224.094,219.168,213.04,206.69,202.977,205.036,206.13,208.596,210.456,212.12,213.437,215.057,218.062,220.64,222.892,225.147,228.918,229.666,235.701,243.274,245.433,249.77,254.15,258.897,261.914,270.76,243.497
229.464,241.236,235.046,229.347,223.796,218.251,212.05,208.172,210.771,211.904,214.319,216.257,218.09,219.564,221.13,224.247,226.814,229.182,232.019,235.747,236.472,242.179,249.847,252.302,256.654,260.399,265.721,268.57,277.451,248.85
236.653,248.949,241.918,236.241,231.469,225.948,219.561,215.367,218.434,219.839,222.344,224.523,226.526,228.018,229.852,233.161,235.901,238.301,241.162,244.973,245.712,251.502,259.29,261.653,266.076,269.789,274.917,277.557,286.529,256.583
245.822,259.227,252.293,246.511,241.666,235.443,229.306,225.237,228.616,230.264,233.224,235.571,237.561,239.31,241.243,244.838,247.606,250.083,252.971,256.821,257.543,263.416,271.29,273.627,278.192,281.866,284.859,287.431,298.101,266.393
259.071,273.853,266.747,260.809,255.823,249.309,242.951,238.948,242.387,244.424,247.712,250.304,252.502,254.381,256.46,260.193,263.123,265.714,268.627,272.609,273.392,279.407,287.492,289.703,294.448,298.164,301.38,303.632,314.033,279.778
275.943,292.278,285.11,278.977,273.688,266.784,260.01,255.727,259.357,261.703,265.281,268.216,270.613,272.744,274.909,277.144,280.349,284.48,287.549,290.446,291.121,297.431,306.066,308.161,312.856,316.572,321.844,323.782,333.156,297.234
295.207,312.783,307.816,301.431,295.626,288.26,280.947,276.249,278.886,282.713,285.631,288.839,291.634,294.073,296.478,300.993,304.213,307.154,310.417,314.978,315.746,322.29,331.193,333.269,338.449,342.16,347.357,348.998,358.397,319.241
322.297,341.667,333.568,326.862,320.84,312.964,305.362,300.689,305.093,308.381,312.622,316.256,319.193,321.92,324.451,328.966,332.548,335.471,338.823,343.473,344.644,351.537,360.46,362.706,368.509,372.277,373.094,374.717,384.784,343.17
348.437,369.354,367.102,360.069,353.247,344.758,336.057,330.998,335.223,338.639,343.149,347.134,350.19,353.144,354.17,359.413,363.343,366.514,370.263,375.21,376.119,383.481,393.281,395.466,401.171,405.068,410.638,411.762,421.516,375.396
386.608,410.119,401.819,394.263,387.407,378.757,369.656,364.567,369.654,373.797,379.114,383.632,386.912,390.323,393.267,398.188,402.247,405.233,408.879,414.074,415.712,423.476,433.276,435.819,442.318,446.57,452.016,446.311,456.481,406.944
420.688,446.674,445.037,437.446,429.629,420.248,409.887,404.182,406.15,411.059,417.618,422.973,426.702,430.604,434.013,439.614,443.981,447.361,451.533,457.132,458.459,466.946,477.653,479.976,486.557,490.458,496.152,496.464,506.003,450.241
470.523,498.968,490.767,482.886,475.149,465.349,454.87,449.072,454.541,459.351,465.939,471.563,475.256,479.438,482.334,484.207,489.312,493.048,497.58,503.649,504.651,513.532,525.197,527.069,533.412,536.93,542.289,542.114,551.819,491.447
516.517,548.314,539.48,531.618,524.021,514.013,503.811,498.163,505.166,511.064,518.938,525.364,529.542,534.207,537.841,542.793,547.759,550.918,547.788,554.208,563.98,573.378,576.763,577.766,594.139,597.682,603.183,601.978,600.291,534.717
564.636,600.911,592.413,585.143,577.801,567.933,558.298,553.526,562.347,569.858,579.487,587.144,592.006,597.462,601.88,607.534,612.702,616.127,620.547,626.877,629.637,639.348,650.653,652.32,659.324,662.158,666.883,664.711,674.86,603.22
643.686,683.831,673.634,664.372,656.12,644.322,632.346,625.897,635.672,644.931,653.766,643.63,666.946,672.078,664.421,673.637,680.454,685.661,691.928,698.736,699.022,709.358,722.551,722.4,728.181,730.323,734.716,732.886,744.28,671.952
Min
158.582,165.953,162.081,157.814,154.328,149.095,144.78,142.127,143.725,144.098,145.817,147.016,148.123,149.019,149.971,151.829,153.663,155.15,157.378,159.88,160.952,164.949,169.862,171.805,175.141,178.019,182.18,184.629,191.153,174.072
163.148,171.091,165.862,161.486,157.82,153.344,148.772,146.004,147.535,147.961,149.408,150.611,151.427,152.729,153.539,155.712,157.772,159.084,161.069,163.769,164.894,168.545,173.933,176.507,179.187,182.064,186.138,188.48,194.966,175.727
163.583,171.599,166.373,162.026,158.291,153.913,149.412,146.653,148.226,148.775,150.231,151.397,152.555,153.496,154.649,156.817,158.652,160.305,162.281,165.126,165.758,169.888,175.499,177.571,180.906,183.987,187.987,190.223,196.877,177.134
164.207,172.121,167.857,163.62,159.751,154.63,150.112,147.411,149.252,149.717,151.232,152.581,153.573,154.396,155.822,157.781,159.678,161.286,163.259,166.067,166.641,170.804,176.49,178.517,181.796,184.733,188.796,191.061,197.737,177.953
166.365,174.676,169.304,165.083,161.327,156.842,152.222,149.452,151.165,151.766,153.273,154.554,155.776,156.725,157.839,160.148,161.993,163.66,165.626,168.447,169.068,173.273,178.966,181.032,184.409,187.255,190.139,192.432,199.049,179.324
168.241,176.698,172.367,168.071,164.376,159.78,155.018,152.233,153.777,154.598,156.447,157.842,159.09,160.078,161.293,163.547,165.48,167.169,168.86,171.689,172.25,176.776,182.456,184.075,187.328,190.613,194.173,196.436,203.07,182.623
